sūlūde	sul+ud-i
šatti	šātt-i
šilaġugarilla	šil-aġ-ugar-i=lla
nēlaban	nēla-v-a=an
šindāib	šindai=v
ōšši	ōšši
azamaruliēž	az-am-ar-o-l-ež
uētta	uwētti-a
šašfe	šašfe
kenna	keni-na
ašḫuidan	ašḫo-i-dan
išḫara	išḫara
ḫīžāri	ḫīž-ar-i
itkundōri	itk+und+o+re
faštu	fašt-o
kapšinina	kapši-ne-nna
namla	namli-a
šilāġi	šil-aġ-i
pēġi	pēġ-i
eževabun	ežeb.ābu=n
amuwīn	am-o-en
ḫalzinibi	ḫalze-ne-ve
šindai	šindai
tižab	tiža-v
eradiniž	erade-ne-ž
tūmniažūž	tomni-i-až-ož
turuḫḫe	tūr+o+ḫḫe
alulū	al-ol-u
šabadnimma	šabad+ni=mma
farinināma	uw+ar+i+nni-na=ma
paġmi	paġmi
irveniž	ervi-ne-ž
nirġa	nirġi-a
šagumženež	šag+um+že-ne-ž
ḫāib	ḫa-i=m
ḫēaraštēda	ḫē-ar-ašt-ed-a
īllulia	īll-ol-i-a
attaivi	atta+i-i-ve
fudarinalla	fud+ar+i+nni-a=lla
tālūlīžanna	tāl+ūl+ī+že-a=nna
tamgarrida	tamgāri-ne-da
naiġēna	na+i+ġē-na
eguššinažuž	eg+o+šše-na-až-ož
attaebini	atta+i-i-ve-ne-e
tēna	tē+ni-a
itkalzinibinažuž	itkal+zi-ne-ve-na-až-ož
pāttarribi	pāttari-ne-ve
tabrāna	tabrani-a
kikkuġēda	kikk-oġ-ed-a
kamēnež	kamme-ne-ž
ḫāḫḫiniž	ḫāḫḫi-ne-ž
šeġalaššiġinimma	šeġal+a+šše+ġe-ne-e=mma
ilāvān	ilāvā-a=an
šuškib	šušk-i-b
ḫanubasḫi	ḫān+u+b+a+sḫe
tālāl	tale-a=l
ištennanan	išteni-na=nan
tiḫḫida	tiḫḫ-ed-a
tabra	tabri-a
tāda	tādi-a
tizū	tiz-u
izuziva	izuzi-i-va
āšḫuž	āšḫ-o-ež
nakti	nakti
ḫalikkuli	ḫalikkuli
šešteni	šešti-ne
ulluġužellāin	oll+uġ-ož-ill-i-ai-n
allīġa	all+ī+ġe-a
ḫattōġināža	ḫatt+o+ġe-na-až-a
ḫimzatḫōži	ḫimz+a+tḫ-ož-i
talmašti	talm-ašt-i
šōniaž	šō+ni-i-až
arnāi	arni-ae
šeġalama	šeġal-a=ma
amōmāb	am+o+mi-a=v
kiāžēni	kiaže-ne
irdib	irde-v
talaḫḫum	tal+āḫḫ-o-m
igi	ig-i
itkiaž	itk-i-a-ž
arulib	ar-ol-i-b
aġarrēl	aġri-ne-ž=l
azaldili	az-al-d-i-le
šia	ši-a
attaida	atta+i-da
ḫullurēva	ḫull-ur-i-eva
šimegai	šimiga+i
talippa	tale-iffe-a
ḫīlēšta	ḫīlēšti-a
piġida	piġi-da
tātḫināmma	tatḫi-na=mma
ōlluġaīnna	oll+uġ-i-ai=nna
suwadatte	suv+ad+atte
šiali	šiali
tāġe	tāġe
īad	īa=d
aga	agi-a
fēlluža	fēll-ož-a
savāldum	sav-al-d-o-m
aġarrēba	aġri-ne-va
šelužēda	šel-ož-ed-a
šeġalama	šeġali-a=ma
irdeda	irde-da
šidurriva	šid+ō+ri-ne-va
ubēda	ub-ed-a
tālūlīžanna	tal-ol-iž-a=nna
igēnema	egi-ne-e=ma
aldāi	al-d-i-ai
šāla	šāla
ērġima	erġi=ma
ḫarraža	ḫāri-na-až-a
tapšurža	tapš+ur+že-a
uženi	uže-ne
ḫāža	ḫaž-a
tālēnež	tāle-ne-ž
ōžnai	ōžni-ae
alġi	alġ-i
ōšḫunōž	ošḫo+ni-ož
tabrāni	tabrani
murġulišta	murġulišti-a
kažinibād	kāze-ne-va=d
nabarbinie	nabarbi-ne
puttiġiž	put+t+i+ġe-i-ž
kummini	kumme+ne
iži	iž-i
ḫeldāralla	ḫild-ar-a=lla
pōenibi	powe-ne-ve
kešḫini	kešḫi-ne-e
šīrna	šīrn-a
pūrudum	for-ud-o-m
foride	for-ed-i
āġrudum	āġr-ud-o-m
šummanniž	šumm+a+ni-ne-ž
piġīe	piġ-i-en
aiuda	aiu-da
pabannaže	paba+ni-na-až-ve
purallinninažal	fōr+all+i+nni-na-až-a=l
nīvāži	nīv+ā+že
uwamuwā	uwi-a=m
aġrušḫini	aġr+o+šḫe-ne
ažōġini	až+oġi-ne-e
surgi	surgi
šīnda	šind-a
ḫanumbasḫi	ḫan+u+mb+a+sḫe
kapšuġāl	kapš+o+ġe-a=l
talmanalla	talm+a+ni-a=lla
fōrīman	fōri-i=man
tagima	tagi=ma
anagina	anagi-na
ōššōmai	ōšš-o+m+ai
ḫuenivan	ḫowe+ni-i-va=an
nūma	nūmi-a
irdōvānninibi	irdōv+ā+nni-ne-ve
tidiam	tīd-i-a=m
ḫerida	ḫeri-da
nešši	nešši
kibulaēšša	kev-o-l-ai-ž=nna
teġulli	teġ-ol-i-le
ēlmirġi	elm+ir+ġe
kīzirriva	kīziri-ne-va
idna	id+ni-a
ḫeldāralla	ḫild+ār+i-a=lla
karžida	karži-da
eginniniž	ege+nni-ne-ž
šurrū	šurr-u
amanniniba	am+a+nni-ne-va
ḫalzēni	ḫalze-ne-e
tariġini	tar+i+ġe-ne
allai	ālla+i
kelde	kel+di
ḫāġippinama	ḫāġi-v-ve-na=ma
tapḫaštib	tapḫ-ašt-i-b
šīnzima	šin+ze=ma
kamallenna	kamali-ne-nna
lēli	leli
mīrrīž	mīri-ne-ž
taškarġi	taškar+ġe
tugrišḫi	tugriž-ġe
ūna	uw+o+ni-a
iġarā	iġari-a
teiai	tei-ae
tānaštīb	tān-ašt-i-b
ivi	iv-i
nūma	nūm-a
kirmana	kir+man-a
tumniam	tomni-i-a=m
nippilōva	nippilova-a
šūranni	šūr+a+nni
avaštiž	av-ašt-i-ež
ūmmumaššiniva	umm-o-m-ašše-ne-va
šūgēma	šūgē=ma
ēlgilla	ēlgi-i=lla
šubribi	šubri-ve
šarrumman	šarrumma=n
tabenduž	tab-ind-o-ež
lablaḫḫinida	labla+ḫḫe-ne-da
alulbi	alulbi
temmāni	temm-an-i
ḫāžažib	ḫāž+a+že-v
sukki	sukk-i
kūmdenivenin	kūm+de-ne-ve-ne-e=n
erōliva	er-o-l-eva
nāwunni	nāū+nni
arire	ar+i+re
kappilivaž	kapp-i-l-eva-ž
aguda	ago-da
parġida	parġi-da
teššīe	tešše-e
pāġiž	pāġ-i-ež
futkina	fut+ki-na
uittani	uw+ett+a+ni
ānnež	ani-ne-ž
šuwannāža	šuw+a+ni-na-až-a
ūmbiža	ūmb+i+že-a
kadi	kadi
pāštōm	pa-ašt-o-m
salaštu	sal-ašt-o
šīadi	šīadi
alāži	al+ā+že
subitta	sub-ed-d-a
ūrġāb	ūrġ-a-b
ḫinnim	ḫenni=m
sūleška	sūl+eški-a
kuninibi	kune-ne-ve
kašti	kašti
tārra	tāri-na
tā+na	tān-a
nūbi	nubi
abinam	avi+n=m
kapšalla	kapšalla
paġandarri	paġ+and+ar+i-ne
armuž	armi-ož
pēduġa	pēd+uġ-a
šarrina	šarri-na
ula	oli-a
tibāġa	tiv-aġ-a
šadna	šadn-a
suguġēda	sug-oġ-ed-a
ḫōžurraža	ḫōžuri-na-až-a
āštiba	āšte-va
sōšša	sōšš-a
sāssari	sāss+ar+i
inġad	inġi-a=d
tali	tal-i
āllaniva	āllāni-va
šēnima	šiye-ne-e=ma
šāvalam	šāv+al-a=m
mādi	mādi
ūpšīb	ūpš-i-b
tūnimmuššuḫḫa	tūn+imm+o+šš+oḫḫe-a
amattena	ammatte-na
kaganidama	kaġ+a+ni-da=ma
īa	īa
īpšadenen	īpšade-ne-n
nakti	nak-d-i
ḫōiġia	ḫō+i+ġe-i-a
tāġi	tāġ-i
auliž	aoli-ž
ōlma	ōl+mi-a
ḫāulimāīn	ḫa-ol-i+m+ai-n
andillam	andi=lla=m
atḫalve	atḫalve
ebri	evri
šāmanni	šāmani-ne
arīvin	ari-i-ve=n
agi	ag-i
šerže	šer+že
teššena	tešše-na
taġinež	tāġe-ne-ž
ardinin	arde-ne-e=n
mānie	mānne
enež	eni-ž
āmmanniniva	āmm+a+nni-ne-va
tarmanna	tarm+a+ni-na
nammallāža	namli-na-až-a
šēriž	šēri-ž
egennin	ege+nni-n
šūžiž	šūži-i-ž
abalġi	abal+ġe
aštāgabi	aštaga-ve
mādida	mādi-da
eguššellandin	eg+o+šš-ill-and-i-n
tuppini	tuppi-ne-e
ḫillēl	ḫill-i=l
puranzipḫināža	puranziḫ-ve-na-až-a
nātḫa	natḫi-a
šendamennīn	šendamenni=n
kādala	kad-al-a
ḫōrāmi	ḫōrāmi
kāllež	kāli-ne-ž
sigarullinež	sig+ar+ulli-ne-ž
kibašši	kev+a+šše
šeġurnibāe	šeġor+ni-ve-ae
āġmižarriž	āġmižari-ne-ž
kīli	kili
tabrinnež	tabrini-ne-ž
āštašḫini	āšt+a+šḫe-ne
paini	pāini
kula	kol-a
arōlawunna	ar-ol-aw=nna
šuēž	šu-i-ež
kiraraštum	kir-ar-ašt-o-m
šumminnam	šummi+n=nna=m
urġa	ūrġi-a
ištāni	ištani
navanida	nav-an-ed-a
šarri	šarri
adēma	ade=ma
šialēri	šial-i-re
ḫanirra	ḫan+i+re-na
pēġulaballa	pēġulabi-a=lla
kažiarrinel	kažiari-ne-ne=l
pāenib	pāeni-v
itka	itk-a
šēža	šēžē-a
šūgi	šūgi
šūri	šūr-i
tupḫa	tupḫ-a
šeġalulēž	šeġal-o-l-ež
ēbrivē	evri-i-ve
nabnida	nabni-da
forili	for-i-le
kundāri	kundāri
eguššina	eg+o+šše-na
avida	avi-i-da
šarri	šarr-i
kišḫini	kešḫi-ne
šažarri	šažari-ne-e
šallaēnel	šallaie-ne-e=l
kuzuġi	kuz-oġ-i
ḫāllāi	ḫāl-i-l-ai
itkurinella	itk-o-re-ne-e=lla
igināžuž	igi-na-až-ož
allumāda	allum+āde-a
itkalzinibi	itkal+zi-ne-ve
eginiž	egi-ne-ž
ḫeldeni	ḫelde-ne
fōrullibina	fōroli-ne-ve-na
aīn	ai=n
kutkūda	kut+kūd-a
fāra	fār-a
šarrinibi	šarri-ne-ve
niġe	niġe
teššināža	tešše-na-až-a
tēadin	tēi+ade-n
kīdāba	kīdāvi-a
tulbulimaža	tulbuli+m+a+že-a
sibariba	sib+ar+i-i-va
naunnaža	nau+ni-na-až-a
purullibi	fōroli-ne-ve
tāpšūlāw	tāpš-ol-aw
kāzuž	kāze-ož
alda	aldi-a
kāvāl	kāvi-a=l
tibib	tive-v
arni	arni
avālġi	av+al+ġe
šukkua	šukk-u-a
uminnāži	omini-na-až-ve
māški	māški
ḫōdanna	ḫōd+a+nni-a
ḫavāḫḫōbada	ḫav+āḫḫ+ō+bade-a
šinubini	šinubi-ne
sūldu	sūl-id-o
težuġarġināži	tež+uġ+ar+ġe-na-až-ve
nānašti	nān-ašt-i
ašḫužikkunnibi	āšḫ+ož+i+kk+o+nni-ve
ēnġa	ēnġi-a
sigalduži	sig+al-d-ož-i
ažiwlai	ažiuli-ae
kadenduž	kad-ind-o-ež
ḫōlulidu	ḫōl-ol-id-o
šīwullēm	šī-ul-i-le=m
ueruḫḫāl	uwer+o+ḫḫe-a=l
pendōvalla	pend-u-a=lla
ḫōpten	ḫōpte-n
urunnin	or+o+nni-n
akkadeni	akk+ade-ne
kanzukkam	kanz-o-kko=m
aštēna	āšte-na
umban	umba=an
taržuwanna	taržuwa+ni-na
ēbrinniž	ever+ni-ne-ž
ḫežminiž	ḫižmi-ne-ž
tebušḫa	tiv+o+šḫi-a
ādaž	atta-ž
tešcuppi	teššob-ve
ōššunila	ōšš+o+ni-i=lla
melaḫḫum	mel+aḫḫ-o-m
kulimmāššōḫḫa	kul+i+mm+ā+šš+ō+ḫḫe-a
šīenāže	šiye-na-až-ve
pāri	pāri
tiššuḫḫi	tišš+o+ḫḫe
išten	ište=n
kulamudutki	kul+am+ud+ut+ki
težuġāi	tež+o+ġe-ae
šarārma	šarārmi-a
ēblam	ēbla=m
šaržāraima	šaržārai=ma
pirida	pir-ed-a
nurāšše	nur+ā+šše
ašḫaštaġe	ašḫ+ašt+a+ḫḫe
paġedab	pāġ-ed-aw
pittugalliaž	pittugalli-i-až
agāve	aga-ve
aveda	ave-da
manzōrāma	manu-ž-ora=ma
kippēna	kippe-na
ḫažāe	ḫāži-ae
tattin	tatti-n
sūlūža	sūl-ož-a
munuž	muni-ož
šubribinibi	šubri-ve-ne-ve
šarža	šarže-a
kažlōža	kažl-ož-a
kišḫida	kešḫi-da
ḫārapḫaēm	ḫār+a+ġe-ve-ae=m
adāni	ad+ā+ni
nāninduža	nān-ind-o-ež=nna
īamma	īa=mma
marašte	mar-ašt-i
fāžanna	fāžani-na
unōži	un-ož-i
pābelġa	pābel+ġe-a
šukkunna	šukk+o+ni-na
tadida	tad-id-a
ūžamma	uw+o+že-a=mma
kapšuġāma	kapš+o+ġe-a=ma
ḫōdinaži	ḫōde-na-až-ve
pižešḫum	piž+ešḫ-o-m
šūwarudanam	šūw-ar-u-d-a=n=m
iži	iži
tapšaġuḫḫa	tapš+aġ+o+ḫḫe-a
kadia	kad-i-a
ubuwen	ub-o-va-en
mādinibi	mādi-ne-ve
anzini	anzi-ne
āštenibi	āšte-ne-ve
tavaštōm	tav-ašt-o-m
užu	už-u
ežežal	ežeži-a=l
amudōbadi	am+ud-o-vade
ḫāōppul	ḫa-uffu=l
kōruppi	kōruppi
ḫamarražena	ḫam+ar+i-na-až-ve-na
naġmazulel	naġmazuli-ž=l
kōruppi	kōr-upp-i
aruwallāenama	aruwallāe-na=ma
unadel	un-a=dil
šōrin	šōri-n
azalda	az-al-d-a
ḫōiġiani	ḫō+i+ġe-i-ane
uštiġi	ošt+i+ġe
manzōž	man-z-ož
ḫaburnin	ḫavor+ni-n
kāri	kar-i
tibōšḫi	tiv+o+šḫi
paġli	paġ+li
adaššībi	ad+a+šše-ve
forāna	for+āna
tabaštili	tab-ašt-i-le
šēġalum	šeġal-o-m
šīġa	šīġ-a
šīwḫa	šīuġi-a
aġarribāe	aġri-ne-ve-ae
šelōlidu	šel-ol-id-o
niga	nigi-a
umbōž	umb-o-ež
talavoži	talāv+o+že
šumunnibi	šumni-ne-ve
ḫōdenažuž	ḫōde-na-až-ož
aninie	ane-ne
šeridab	šer-ed-aw
ažaštib	až-ašt-i-b
ḫōdannibāe	ḫōd+a+nni-ve-ae
tārinni	tar+i+nni
nažāgi	naž-ag-i
adamġi	ad+am+ġe
šeġruž	šeġr-o-ež
titta	titti-a
fiwta	fē-oda
āllānima	āllāni=ma
šukkunna	šokko=nna
ižuġnai	ižuġ+ni-ae
uwal	uw-a=l
fāġadi	fāġadi
navanida	navani-da
ōštannōġa	ōšt+a+nn+ō+ġe-a
āpši	apše
ḫavorunnen	ḫavor+ni-ne-n
eġarribinidal	eġari-ne-ve-ne-da=l
idni	id+ni
tamgina	tamgina
kažalla	kāž-a=lla
ḫāšši	ḫašši
kūmurrida	kūmuri-ne-da
šōruž	šōri-ož
ḫānie	ḫāni-e
šinzuḫḫamma	šin+z+o+ḫḫe-a=mma
šāġlēž	šāġl-i-ež
ibima	ibi-i=ma
eguššulēž	eg+o+šš-o-l-ež
arōluda	ar-ol-u-d-a
tāġid	tāġe=d
tatḫinibi	tatḫi-ne-ve
nave	nave
šeġri	šeġri
kēški	keški
nīvarīuž	nīv+ar+i-i-ož
naīanie	nai-i-ane
ḫārrēma	ḫāri-ne-e=ma
idiaž	idi-i-až
pārgiaž	pārgi-i-až
kuldim	kul-d-i=m
ittili	itt-i-le
ḫillamen	ḫill-am-i-en
šīenella	šiye-ne-e=lla
sangandi	sangandi
keldiani	kel+di-i-ane
ila	il-a
šadōži	šad-ož-i
ēšḫi	ēšḫi
pizigarraž	pizigarra-ž
kuldubin	kuldubi-n
kažlužellandin	kažl-ož-ill-and-i-n
nēġārža	nēġār+že-a
šīad	šiye-a=d
ižinibāin	iži-ne-ve-ae=n
tivinām	tive-na=m
tummininna	tummi-ne-e=nna
igingališḫīnamma	igingališ-ġe-na=mma
purandinel	purandi-ne-ž=l
šeġri	šeġr-i
kaškan	kaška=an
talabōžinaža	talāv+o+že-na-až-a
šumi	šum-i
pendukku	pend-o-kko
šānnež	šāni-ne-ž
sūlūde	sūl+ūde
ḫāžarinna	ḫāž+ar+i-i-nna
alaluž	alalu-ž
kažiari	kažiari
fēḫḫēda	fēḫḫi-e-da
idennanež	idenna-ne-ž
ulluliž	oll-o-l-ež
numribi	numri-i-ve
ḫalban	ḫalba-a=an
tadida	tādi-da
aiangurin	aianguri=n
simminie	simmi-ne
niržida	nir+že-da
pandari	pand+ar+i
neššidal	nešši-da=l
tebini	tive-ne
sarmadenin	sarmade-ne-n
tānuže	tān+o+že
aigalduda	aigaldu-da
ēlgi	ēlgi
kešḫenāži	kešḫi-na-až-ve
ḫiaruḫḫa	ḫi+ar+o+ḫḫe-a
arulli	ar-ol-i-le
kašti	kaš-d-i
eġlibina	eġli-ve-na
egi	eg-i
tōpšida	tōpši-da
ḫežāla	ḫež+āl-a
tāri	tāri
šeġurunnivini	šeġor+ni-ne-ve-ne-e
aġarribināža	aġri-ne-ve-na-až-a
ḫōdedemaen	ḫōd-i+m+ai-n
awfa	a-u-a
tagulēž	tag-o-l-ež
umbundurinidal	umb+und+o+re-ne-da=l
urunni	or+o+nni
abin	avi-i-n
sūwe	sūve
aguma	ag-o+m+ai
tarmannibina	tarm+a+ni-ne-ve-na
ēšḫi	ēšḫ-i
kulimāššināža	kul+i+m+ā+šše-na-až-a
ēārež	ēyari-ž
aštuḫḫinažuž	ašt+o+ḫḫe-na-až-ož
aġuina	aġui-na
ḫōili	ḫō-i-le
ḫōžellandin	ḫōž-ill-and-i-n
ažammu	až-amm-o
mužunni	mužunni
talmu	talm-o
itkalzai	itkal+zi-ae
itkannim	itk-i-anni=m
šēni	šena-i
iškidu	išk-id-o
kulmurri	kulm+o+re-ne
uinež	uwi-ne-ž
ḫenni	ḫenni
aranziġōba	aranziġō-va
kubaġāe	kubaġi-ae
tadanida	tad-an-ed-a
agabēnāža	aga-ve-na-až-a
talaḫḫōm	tal-aḫḫ-o-m
eženibi	eže-ne-ve
ikkammašši	ikk+amm+a+šše
tāna	tāni-a
ḫāni	ḫāni
edukku	ed-o-kko
težāe	teži-ae
mān	mā=an
paġrōžina	faġr+o+že-na
pōnġib	pōnġi-v
ālva	ālvi-a
paššitḫa	pāšš+i+tḫe-a
allannida	āllāni-ne-da
kiptaneda	kip-d-an-ed-a
sitkab	sitk-a-b
pindōli	pend-ol-i
šāttīdu	šātt-id-o
fāžel	faž-i=l
fēžuda	fē-ž-oda
tapšaḫḫa	tapš+āġ+i-a
armuž	arm-o-ež
ḫāžēra	ḫāžeri-a
tāgidura	tāgidu-ra
āġrāi	aġri-ae
pulidibāe	pul+idi-ve-ae
šummida	šummi-da
fažēda	faž-ed-a
nīrib	nir-i-b
ōrdeba	ōr+d-i-eva
falukku	fal-o-kko
ubīn	ub-i-en
kurgōrveašša	kurgōrvi-i-až=nna
tīb	tiye-v
mānura	manu-ra
šelli	šelli
taržuwanzi	taržuwa+n+zi
adi	adi
uġōni	oġ+o+ni
arde	arde
izūza	izuzi-a
ardeni	arde-ne
unuž	un-o-ež
šūpta	šūpti-a
ažužellandin	až+ož-ill-and-i-n
ōlmišši	ōl+mi-šši
ārdīma	arde-i=ma
šēduilianiž	šēd+oʾ+ilia-ne-ž
ēnna	eni-na
pirugāra	pir+ugāri-a
ōmmennivā	omini-ne-va
ašḫudan	ašḫo-da=an
šuwindašši	šu-i-nd-a-šše
aġrāid	aġrā-i=d
ubi	ubi
ammurami	ammurami
pāġiž	paġi-ž
taliniba	tāle-ne-va
fenda	fendi-a
anammi	anammi
subnīa	subni-i-a
elmāi	elmi-ae
felzab	felz-a-b
šattidel	šatti=dil
pīarida	pīari-da
univatta	un-i-eva=tta
šinzi	šin+ze
tuiba	tui-i-va
serrēnež	serrē-ne-ž
itkalzinibina	itkal+zi-ne-ve-na
indannim	ind-i-anni=m
šīel	šī-i=l
āġri	aġri
ḫažaštili	ḫaž-ašt-i-le
itkula	itk-ol-a
pāžia	fāži-i-a
forima	for-i=ma
taržuwannibi	taržuwa+ni-ne-ve
šāġari	šāġ+ar+i
ḫižma	ḫižm-a
nurandiġinina	nurandiġi-nna
pirrib	pirr-i-b
kūdaīž	kud-i-ai-ž
foruššuenim	for-ušš-o-en-i=m
alēōb	alē-o-m
pellēni	pille-ne-e
kalbuġēda	kalb-oġ-ed-a
ūlluž	ūllu-ž
ōrdōž	ōr+d-o-ež
tarže	tarže
passa	passi-a
aga	agi-a
šīri	šīr-i
agi	agi
pendiža	pend-iž-a
sugmuštab	sugm-ušt-a-b
ḫāžažib	ḫaž-až-i-b
ižīma	iži-i=ma
meġa	meġ-a
nelġa	nelġi-a
erāna	er+āna
maġōrri	maġōri-ne
pugulba	pugulbi-a
madla	mad-l-a
āštenna	āšte-i-nna
tūnidu	tūn-id-o
uraēna	uraē-na
šōniba	šō+ni-i-va
taripti	tar+i+pt+i
tilulōštab	til+ol-ošt-aw
ḫižmūža	ḫižm+o+že-a
idibi	idi-i-ve
alāži	alāže
pāttarrēda	pāttari-ne-da
pindab	pend-a-b
mūnuriminida	mūnurimi-ne-da
kapša	kapši-a
talaštāw	tal-ašt-aw
temmāni	temm+ā+ni
uētta	uw+ētt-a
ḫalmināžuž	ḫal+mi-na-až-ož
uminnāža	omini-na-až-a
pōruštugariža	for-ošt-ugar-iž-a
tidištēdi	tīd-išt-ed-i
teḫpa	teḫpi-a
tālia	tale-i-a
kažalla	kažli-na
uriba	ori-i-va
marninel	marne-ne-e=l
arūžušši	ar-ož-o-šše
aštenna	āšte-nna
ḫerāri	ḫer+ār+i
āmi	āmi
egōna	eg+ō+ni-a
šindiž	šind-i-ež
eženišša	eže-ne-ž=nna
egušši	eg+o+šše
mana	man-a
udipšarin	odip.šarri-n
ḫōenēmma	ḫowe+ni-e=mma
ḫirīdi	ḫir+īdi
pilāġižiliġa	pil+āġ+i+šše+li+ġe-a
ušturab	ošt-ur-a-b
fōdu	fud-o
abi	avi
nagēri	nagēri
kakkariani	kakkari-i-ane
taššāmib	taššāmi-v
tāġibi	tāġe-ve
tebi	tive
ēbrež	evri-i-ž
kibuppu	kev-uffu
firiški	fir+iški
ivā	ivi-a
karēnažuž	kare-na-až-ož
ḫinzurinna	ḫinzori-nna
evarži	ev+ar+že
pidia	pid-i-a
umbašši	tupp+a+šše
nakkima	nakk-i=ma
kumarvenel	kumarve-ne-ž=l
kirāži	ker+ā+že
ḫōbānab	ḫōb-an-a-b
ḫaidu	ḫa-id-o
tē	tēi
ažiwlai	aži-o-l-ai
ḫāiži	ḫā+i+že
edida	idi-i-da
šeġalulāešša	šeġal-o-l-ai-ž=nna
turba	torv-a
pabanni	paba+ni
navari	navari
ḫižma	ḫižmi-a
kīdāvae	kīdāvi-ae
ḫuiššeni	ḫo+i+šše-ne
ḫerinež	ḫeri-ne-ž
ideppa	idi-v-va
itkian	itk-i-a=an
šadna	šadni-a
pandiažal	fandi-i-až-a=l
kiverra	kevri-na
ḫawsuġa	ḫauz-oġ-a
tēa	tēa
šimigi	šimige
puenāžuž	powe-na-až-ož
tāwumballa	tā-umb-a=lla
šerminġinež	šermin+ġe-ne-ž
sīani	si-i-ane
šigadibam	šig+adi-i-va=m
ēḫḫinež	ēḫḫi-ne-ž
šīwullēm	šīūli-ne-e=m
ḫōpten	ḫōp-d-i-en
kudunib	kuduni-v
enima	eni=ma
munġīe	munġ-i-en
egini	egi-ne
šerġuž	šer+ġe-ož
ukku	ukk-o
taššāmmiž	taššāmi-ž
pāġidi	pāġ-id-en
ummana	ummani-a
tīa	te-i-a
ani	ani
ḫavorunni	ḫavor+ni-ne
naḫḫubaduž	naḫḫ+o+vade-ož
ḫilde	ḫil-id-en
ānžalāl	ānž+ali-a=l
pārizinivinama	pārizi-ne-ve-na=ma
mažagum	maž-ag-o-m
teġida	teġ-ed-a
sigrōšḫinenna	sigr+ō+šḫe-ne-e=nna
ḫenzādu	ḫenz+ād-u
azusḫa	azusḫi-a
naēnāža	naīa-na-až-a
ḫōbiž	ḫōb-i-ež
išteni	išteni
tarmanni	tarm+a+ni-ne
faġraži	faġr+a+že
ūrġi	ūrġi
šeēnāžuž	šiye-na-až-ož
pāttīvorriva	pāttīvori-ne-va
urel	ori-i=l
egudutki	eg+ud+ut+ki
šundinna	šundi+ni-na
tunuwarriž	tunuwari-ne-ž
tamarra	tam+ar+i-na
itkōli	itk-ol-i
farižanna	pār-iž-a=nna
uīž	uwi-ž
tāduġeba	tado.ḫeba
ḫārāpḫāi	ḫār+a+ġe-ve-ae
mānga	mān+g+a
kāžukku	kāž-o-kko
ēblan	ēbla=n
ila	ili-a
sōīb	sō-i-b
sāzulilida	sāz-ol-il-ed-a
šarriniba	šarri-ne-va
aru	ar-o
šattaġamōra	šattaġamōri-a
šavōžiniva	šav+ō+že-ne-va
fogāda	fog-ad-a
kalōvadi	kal-o-vade
annel	anni=l
abalġāe	abal+ġe-ae
annim	anni=m
nīnubapḫi	ninuwa-ġe-ve
faikkimān	fa-i-kki=mān
ibini	ibi-ne
šāra	šār-a
ḫellamōla	ḫill-am-ol-a
ardēn	arde-n
pabannažuž	paba+ni-na-až-ož
kulziž	kulzi-i-ž
ubilbaeži	ubilbaeži
fāžanni	fāžani-ne
ḫebapti	ḫebad-ve
taržuwāni	taržuwa+ni
utḫarra	utḫari-na
aġrinninibinida	aġr+i+nni-ne-ve-ne-da
kužuškuženie	kuž+u+šk+o+že-ne
pāirra	pāiri-na
ḫiaruḫḫināža	ḫi+ar+o+ḫḫe-na-až-a
šūgatteni	šūgatte-ne
šubribiniba	šubri-ve-ne-va
tivušḫini	tiv+o+šḫi-na
eġari	eġari
padni	padn-i
šēġali	šeġali
mužuniž	mužoni-ž
uwamuwā	uw-i
